"DIM","funcId","best reached","mean reached","budget","worst recorded","worst reached"
2,1,0.0016,0.23,20050,83,2.1
2,2,0.063,2300,20050,7.1e+07,44000
2,3,0.78,7.4,20050,6900,26
2,4,0.96,9.1,20050,1200,24
2,5,-300,-37,20050,100,8
2,6,0.045,2.2,20050,2e+06,41
2,7,2.6e-07,1.2,20050,7300,6.7
2,8,0.0071,2.3,20050,6e+05,42
2,9,0.017,1.2,20050,110000,22
2,10,0.92,1700,20050,7e+07,35000
2,11,1.4,1500,20050,7.1e+07,35000
2,12,0.25,4500,20050,4.5e+10,130000
2,13,0.2,14,20050,2200,68
2,14,0.011,0.26,20050,540,1.5
2,15,0.58,8,20050,6900,23
2,16,0.011,0.98,20050,360,9.2
2,17,0.18,1.4,20050,840,5
2,18,0.29,5.9,20050,5800,34
2,19,4.9e-07,0.19,20050,230,2
2,20,0.13,1.9,20050,2e+05,4.8
2,21,2.8e-07,0.24,20050,65,2.1
2,22,4.7e-08,0.28,20050,82,6.1
2,23,0.15,2,20050,78,5.1
2,24,0.39,3.7,20050,77,10
5,1,1.1,7.2,50050,160,19
5,2,1900,49000,50050,6.6e+07,4e+05
5,3,19,64,50050,7200,100
5,4,30,78,50050,16000,170
5,5,-410,-9.1,50050,180,50
5,6,3,8200,50050,2400000,120000
5,7,1.4,37,50050,3400,170
5,8,32,1100,50050,610000,7300
5,9,6.1,620,50050,340000,10000
5,10,1000,46000,50050,9.7e+07,350000
5,11,8.2,790,50050,6.8e+07,11000
5,12,66000,Inf,50050,Inf,Inf
5,13,150,380,50050,3700,810
5,14,0.72,3.6,50050,500,7.9
5,15,29,Inf,50050,Inf,Inf
5,16,1.8,9.7,50050,230,21
5,17,2,Inf,50050,Inf,Inf
5,18,5.9,Inf,50050,Inf,Inf
5,19,0.68,4.1,50050,230,11
5,20,1.6,420,50050,250000,4800
5,21,0.82,8.2,50050,84,34
5,22,0.28,13,50050,87,46
5,23,0.56,2.5,50050,42,5.4
5,24,12,39,50050,240,67
20,1,45,100,200050,430,170
20,2,550000,2300000,200050,7.7e+07,6700000
20,3,390,650,200050,8400,1400
20,4,370,730,200050,23000,1700
20,5,-53,230,200050,510,320
20,6,18000,270000,200050,2900000,830000
20,7,200,610,200050,8800,1300
20,8,6400,82000,200050,1500000,260000
20,9,530,30000,200050,1e+06,160000
20,10,580000,2e+06,200050,1.2e+08,8400000
20,11,62,1800,200050,5.3e+07,32000
20,12,6.8e+07,Inf,200050,Inf,Inf
20,13,1200,1900,200050,4500,2600
20,14,11,35,200050,1300,69
20,15,340,Inf,200050,Inf,Inf
20,16,20,33,200050,180,54
20,17,8.1,Inf,200050,Inf,Inf
20,18,26,Inf,200050,Inf,Inf
20,19,5,12,200050,120,29
20,20,1100,24000,200050,430000,63000
20,21,54,70,200050,86,82
20,22,53,76,200050,87,85
20,23,1.9,4.6,200050,30,8
20,24,210,350,200050,1200,610
